Month,rm,rf
2007-01,0.0,0.001245845833333333
2007-02,0.091203,0.001888387254901961
2007-03,0.110805,0.001292090909090909
2007-04,0.293472,0.001973608695652174
2007-05,0.101181,0.0015171481481481481
2007-06,-0.07207,0.001689115079365079
2007-07,0.194859,0.0018048939393939393
2007-08,0.169875,0.0015942391304347829
2007-09,0.050197,0.002358780303030303
2007-10,-0.007132,0.002278703703703704
2007-11,-0.153843,0.0016683787878787881
2007-12,0.141009,0.0015875595238095234
2008-01,-0.119524,0.0016526818181818183
2008-02,0.027762,0.0018823842592592588
2008-03,-0.191728,0.001737214285714286
2008-04,0.026266,0.001907551587301587
2008-05,-0.077055,0.002087337301587302
2008-06,-0.232283,0.002348591666666667
2008-07,0.018654,0.0020897246376811594
2008-08,-0.166457,0.0022174523809523807
2008-09,-0.064323,0.0023039761904761905
2008-10,-0.26051,0.0020859833333333336
2008-11,0.115285,0.0017936250000000005
2008-12,0.005622,0.0009357681159420288
2009-01,0.125614,0.0007195490196078431
2009-02,0.058708,0.0006887380952380952
2009-03,0.178941,0.000669651515151515
2009-04,0.048803,0.0006722222222222222
2009-05,0.054284,0.0006749429824561403
2009-06,0.126315,0.0007280378787878788
2009-07,0.170933,0.0010438876811594202
2009-08,-0.226936,0.0009641706349206349
2009-09,0.056479,0.0010077065217391306
2009-10,0.098828,0.0010380490196078432
2009-11,0.087781,0.0009947420634920635
2009-12,0.0182,0.0009830652173913044
2010-01,-0.085526,0.0009292583333333333
2010-02,0.0329,0.0012964607843137252
2010-03,0.02118,0.0011229492753623187
2010-04,-0.078994,0.001096056818181818
2010-05,-0.090589,0.0014014249999999998
2010-06,-0.083991,0.001849388888888889
2010-07,0.125491,0.0013975833333333331
2010-08,0.033284,0.001314810606060606
2010-09,0.012344,0.001509765873015873
2010-10,0.13319,0.0013393480392156862
2010-11,-0.05036,0.0014287159090909092
2010-12,-0.01144,0.0023359384057971013
2011-01,-0.029931,0.003428023809523809
2011-02,0.066547,0.002100229166666667
2011-03,-0.008681,0.0015074999999999997
2011-04,-0.015677,0.001725404166666667
2011-05,-0.065471,0.00246084126984127
2011-06,0.018357,0.003934932539682539
2011-07,-0.01481,0.0036255396825396833
2011-08,-0.04231,0.0026400797101449273
2011-09,-0.102834,0.0028966865079365083
2011-10,0.042301,0.002990069444444444
2011-11,-0.059464,0.0027703977272727272
2011-12,-0.089186,0.00256381884057971
2012-01,0.040286,0.0036330686274509806
2012-02,0.081456,0.0028587539682539687
2012-03,-0.069876,0.002067786231884058
2012-04,0.07043,0.0026198859649122805
2012-05,0.007609,0.0017933030303030305
2012-06,-0.067366,0.002308175
2012-07,-0.061414,0.0022651666666666666
2012-08,-0.04341,0.002285927536231884
2012-09,0.03492,0.002431142857142857
2012-10,-0.015056,0.002281351851851852
2012-11,-0.065591,0.002013503787878788
2012-12,0.175423,0.0019744761904761897
2013-01,0.06435,0.0017630416666666669
2013-02,0.004423,0.0022767598039215684
2013-03,-0.061532,0.0019396865079365077
2013-04,-0.020073,0.0020742698412698412
2013-05,0.082841,0.0024342689393939392
2013-06,-0.156154,0.005571491228070174
2013-07,0.012223,0.0028083695652173913
2013-08,0.058455,0.0026828143939393945
2013-09,0.045236,0.00264218253968254
2013-10,-0.021576,0.002987280701754386
2013-11,0.036503,0.0032388928571428573
2013-12,-0.040773,0.0030694924242424247
2014-01,-0.036767,0.0028704962121212114
2014-02,-0.001402,0.002378789215686274
2014-03,-0.020322,0.0018966865079365076
2014-04,-0.001169,0.0020647301587301587
2014-05,0.00379,0.002009329365079365
2014-06,0.009718,0.002248616666666666
2014-07,0.08526,0.002674826086956522
2014-08,0.007356,0.00244765873015873
2014-09,0.065843,0.002314034090909091
2014-10,0.020697,0.002081324561403509
2014-11,0.099807,0.002114666666666667
2014-12,0.188248,0.0025203260869565217
2015-01,-0.006769,0.0023497222222222222
2015-02,0.047734,0.002569872549019608
2015-03,0.153043,0.0027804318181818177
2015-04,0.171137,0.0019026587301587303
2015-05,0.063241,0.001007
2015-06,-0.084893,0.0009691666666666668
2015-07,-0.142479,0.0010639782608695655
2015-08,-0.126995,0.0014039682539682542
2015-09,-0.05469,0.0015906785714285717
2015-10,0.11874,0.0015637037037037037
2015-11,0.019976,0.0014880952380952378
2015-12,0.04078,0.0015339855072463771
2016-01,-0.232291,0.0016489583333333334
2016-02,-0.022837,0.001660648148148148
2016-03,0.12757,0.0016447826086956523
2016-04,-0.021552,0.0016740958333333333
2016-05,0.001034,0.001669416666666667
2016-06,0.005172,0.0016781746031746033
2016-07,0.014978,0.0016745634920634922
2016-08,0.038246,0.0016876666666666667
2016-09,-0.020606,0.0017791309523809526
2016-10,0.023716,0.0018320833333333334
2016-11,0.048397,0.001876030303030303
2016-12,-0.059818,0.001916905303030303
2017-01,0.01457,0.0018338859649122807
2017-02,0.024241,0.0019578859649122806
2017-03,-0.001611,0.0020743369565217394
2017-04,-0.012079,0.0021339517543859645
2017-05,-0.007136,0.0022833928571428575
2017-06,0.05093,0.0023169126984126983
2017-07,0.02123,0.0022330238095238093
2017-08,0.023882,0.0023503068181818187
2017-09,0.008456,0.0022924772727272724
2017-10,0.029954,0.002220946078431372
2017-11,-0.012472,0.0022732651515151516
2017-12,0.004016,0.002227103174603175
2018-01,0.042263,0.0022054924242424245
2018-02,-0.050958,0.002154020833333333
2018-03,-0.019276,0.0021709659090909093
2018-04,-0.037697,0.002215921052631579
2018-05,0.004122,0.0021759469696969696
2018-06,-0.080887,0.0021326315789473686
2018-07,3.2e-05,0.0019423106060606065
2018-08,-0.057037,0.0018301449275362318
2018-09,0.022918,0.0020596031746031745
2018-10,-0.089362,0.0019258796296296296
2018-11,0.010268,0.001985202380952381
2018-12,-0.050211,0.0019748412698412697
2019-01,0.048533,0.001686613636363636
2019-02,0.159347,0.0017911960784313728
2019-03,0.067024,0.001956190476190476
2019-04,-0.002865,0.0019570454545454544
2019-05,-0.07293,0.00182068253968254
2019-06,0.042863,0.001267631578947368
2019-07,-0.000297,0.0017587427536231884
2019-08,-0.007947,0.002147507575757575
2019-09,0.005627,0.0020003749999999995
2019-10,0.013358,0.002059298245614035
2019-11,-0.012543,0.0018332142857142857
2019-12,0.071435,0.0015389880952380952
2020-01,-0.012292,0.001604156862745098
2020-02,-0.008668,0.0013370634920634918
2020-03,-0.067126,0.0010897348484848483
2020-04,0.061561,0.0008402757936507936
2020-05,-0.006307,0.0010610648148148146
2020-06,0.078748,0.0014400833333333336
2020-07,0.126155,0.0015191304347826086
2020-08,0.02275,0.0016305357142857144
2020-09,-0.053387,0.0013994927536231884
2020-10,0.014684,0.0016983823529411765
2020-11,0.051213,0.0015409126984126985
2020-12,0.040613,0.0008825000000000003
2021-01,0.020228,0.0015738333333333333
2021-02,-0.001589,0.0015987254901960784
2021-03,-0.04599,0.0015959057971014492
2021-04,0.019887,0.0015851893939393942
2021-05,0.039901,0.0016634210526315794
2021-06,-0.012994,0.0016870238095238095
2021-07,-0.062761,0.001671136363636364
2021-08,0.016167,0.0016754924242424244
2021-09,0.004252,0.0016992424242424245
2021-10,0.003804,0.001631176470588235
2021-11,-0.003992,0.0016214015151515154
2021-12,0.020264,0.0015766666666666665
2022-01,-0.083353,0.0015679761904761904
2022-02,0.012716,0.0016608333333333334
2022-03,-0.078057,0.0016265217391304347
