fullname,OnlineTime_YMD,Bankrupt_WDZJ,Province,City,Collapse,Benign,Fraud,RegCapital,Background,Capitaldeposit,Obtaininvest,Joinasso,Autobid,Transright,Riskdeposit,Thirdguarantee
123便利贷,20140519,20170413.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,1.0,0,0,0.0,0.0
17聚财,20151231,20170201.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
360易贷,20150504,20161201.0,辽宁,沈阳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,1,0.0,0.0
365储蓄家,20180310,20180615.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
51丰收宝,20180320,20180724.0,广东,深圳,1,0.0,1.0,5.0,民营系,0,0.0,0.0,0,0,0.0,0.0
51如易贷,20140416,,山东,临沂,0,,,100.0,民营系,0,0.0,0.0,0,1,0.0,0.0
58爱贷,20160310,,云南,丽江,0,,,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
668信贷网,20140709,20150509.0,湖南,益阳,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
718金融,20160202,20180601.0,北京,北京,1,1.0,0.0,1000.0,民营系,1,0.0,0.0,0,0,0.0,0.0
789金融,20150713,20160920.0,重庆,重庆,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
7号管家,20170101,20180809.0,浙江,宁波,1,1.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
80资本,20141224,20171117.0,陕西,西安,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
87汇财,20140807,20170531.0,四川,成都,1,1.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
88贷,20150312,20160408.0,重庆,重庆,1,0.0,0.0,200.0,民营系,0,0.0,0.0,1,1,0.0,0.0
94bank,20131112,,上海,上海,0,,,120.0,民营系,0,0.0,0.0,0,0,0.0,0.0
C金所,20150401,,广东,深圳,0,,,50.0,国企背景,0,0.0,0.0,0,1,0.0,0.0
D1金融,20140731,20141016.0,上海,上海,1,0.0,1.0,1100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
E贝贷,20141201,20160310.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
SH.COM,20140603,,广东,深圳,0,,,1000.0,民营系,0,1.0,0.0,0,1,0.0,1.0
e融易贷,20130613,20140413.0,云南,昆明,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
i财富,20150228,20180621.0,广东,深圳,1,0.0,1.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
i零花钱,20140305,,广东,深圳,0,,,500.0,民营系,1,0.0,0.0,0,0,0.0,0.0
i投资家,20150101,20150901.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
mM贷,20150108,,上海,上海,0,,,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
阿朋贷,20140125,,北京,北京,0,,,500.0,民营系,1,0.0,0.0,1,1,0.0,0.0
爱本地,20150601,,广东,深圳,0,,,605.117,民营系,1,,,0,0,,
爱分钱,20160518,20170523.0,四川,成都,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,1,0.0,0.0
爱换钱,20151012,20180718.0,北京,北京,1,0.0,0.0,734.553,民营系,0,0.0,0.0,0,0,0.0,0.0
爱康投资,20140902,20160601.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
爱钱进,20140506,,北京,北京,0,,,5000.0,风投系,1,0.0,1.0,1,0,1.0,0.0
爱投易贷,20160818,20171206.0,安徽,合肥,1,0.0,0.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
安捷财富,20140701,20180901.0,上海,上海,1,0.0,1.0,2000.0,民营系,1,0.0,0.0,0,0,0.0,0.0
安全贷,20110519,20170703.0,四川,成都,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
安盛创投,20141103,,山西,太原,0,,,50.8,民营系,0,0.0,0.0,0,0,0.0,0.0
安心de利,20140731,,北京,北京,0,,,171.2,风投系,0,1.0,0.0,1,1,0.0,0.0
安逸宝,20150618,20160715.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
安琪贷,20140214,20150624.0,天津,天津,1,0.0,1.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
奥科创投,20150701,20160118.0,山东,青岛,1,1.0,0.0,10.0,民营系,0,0.0,0.0,1,0,0.0,0.0
奥蒙金融,20160913,20161113.0,广东,深圳,1,0.0,0.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
八通金福,20170515,20171220.0,上海,上海,1,1.0,0.0,1000.0,民营系,1,0.0,0.0,1,0,0.0,0.0
柏融投资,20150528,,浙江,杭州,0,,,100.0,国企背景,0,0.0,1.0,1,0,0.0,1.0
百发客,20160406,,福建,福州,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
百合贷,20140815,20181116.0,北京,北京,1,1.0,0.0,615.4,民营系,1,0.0,0.0,1,1,0.0,0.0
百金贷,20141226,20190603.0,北京,北京,1,1.0,0.0,1158.0,风投系,1,1.0,0.0,0,1,0.0,0.0
百年银子市,20151021,,山东,淄博,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
百投邦,20150201,20160811.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
百信财富,20131206,20141118.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
佰市行,20140808,20160108.0,湖南,长沙,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
板板金服,20171115,20180813.0,浙江,杭州,1,0.0,0.0,757.5,国企背景,0,0.0,0.0,0,0,0.0,0.0
邦邦理财,20180513,20180814.0,浙江,杭州,1,0.0,1.0,500.0,国企背景,0,0.0,0.0,0,0,0.0,0.0
邦你贷,20141216,20160527.0,江苏,南京,1,0.0,0.0,5.0,民营系,0,0.0,0.0,0,0,0.0,0.0
邦融汇,20150211,,北京,北京,0,,,2000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
邦众财富,20141229,20151029.0,福建,福州,1,0.0,0.0,528.0,民营系,0,0.0,0.0,0,0,0.0,0.0
帮帮财,20150331,20180224.0,上海,上海,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
帮友贷,20131104,20180103.0,北京,北京,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,1,1,0.0,0.0
保必贷,20090916,20180115.0,上海,上海,1,0.0,0.0,595.0,民营系,1,,,0,0,,
保理贷,20150601,20161101.0,浙江,宁波,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝筹网,20130807,20150922.0,重庆,重庆,1,0.0,1.0,20.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝丰创投,20130823,20131104.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝丰盛,20141211,20160617.0,山东,泰安,1,0.0,1.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
宝峰创富,20160816,20160912.0,山东,潍坊,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝盖头,20140829,20160225.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝通创投,20150430,20151117.0,山东,青岛,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
宝玉金融,20141112,20161015.0,广东,深圳,1,0.0,1.0,505.452,民营系,1,,,0,0,,
抱团贷,20150112,20160707.0,河南,郑州,1,0.0,0.0,110.0,民营系,0,0.0,0.0,1,1,0.0,0.0
暴雪金融,20140805,20180717.0,上海,上海,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
北部湾财富,20140801,20141122.0,广西,南宁,1,0.0,0.0,100.0,民营系,1,0.0,0.0,0,0,0.0,0.0
北方金融,20131208,,天津,天津,0,,,500.0,民营系,1,0.0,0.0,0,1,0.0,0.0
北方金融网,20160101,20181119.0,辽宁,大连,1,0.0,0.0,600.0,民营系,1,0.0,0.0,0,0,0.0,1.0
贝安金服,20170331,20180110.0,北京,北京,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贝格富,20150601,20160622.0,江苏,苏州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
贝通网,20150402,,青海,西宁,0,,,300.0,国企背景,0,0.0,0.0,1,1,0.0,0.0
倍多金,20150315,,广东,东莞,0,,,500.0,民营系,1,0.0,1.0,0,0,0.0,0.0
倍赢金融,20140929,,重庆,重庆,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
奔宝贷,20140915,,河北,石家庄,0,,,200.0,民营系,1,0.0,0.0,0,1,0.0,0.0
滨学贷,20150601,20150817.0,山东,滨州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
菠菜理财,20170928,,上海,上海,0,,,500.0,国企背景,0,0.0,0.0,0,0,0.0,0.0
博华创投,20141015,20141201.0,山东,潍坊,1,0.0,1.0,120.0,民营系,0,0.0,0.0,0,0,0.0,0.0
博银财富,20170324,20180110.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
步华投资,20150501,20150718.0,安徽,合肥,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财蜂发财树,20151015,20180802.0,广东,深圳,1,0.0,1.0,1000.0,风投系,1,0.0,0.0,0,0,0.0,0.0
财富500,20141126,20180424.0,北京,北京,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富宝,20140228,20151201.0,上海,上海,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富联成,20140917,20150618.0,山东,青岛,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富猫,20150520,20170523.0,上海,上海,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富女王邦,20151001,20160818.0,上海,上海,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富天下,20131202,20141211.0,广东,深圳,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财富在沃,20151113,20160325.0,北京,北京,1,0.0,0.0,99.9,民营系,0,0.0,0.0,0,0,0.0,0.0
财加,20130522,20180118.0,北京,北京,1,1.0,0.0,3000.0,上市公司,0,0.0,1.0,1,0,0.0,0.0
财金所,20141118,20160310.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财金投资,20160701,20160921.0,云南,昆明,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财迷中国,20140416,20141014.0,重庆,重庆,1,1.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
财小喵,20140919,,广东,深圳,0,,,680.0,民营系,1,0.0,0.0,0,0,0.0,0.0
财爷爷,20150330,20160310.0,广东,深圳,1,0.0,1.0,1000.0,民营系,0,0.0,0.0,0,0,1.0,1.0
彩麒麟,20150408,,北京,北京,0,,,500.0,国企背景,1,0.0,0.0,0,0,0.0,0.0
菜苗金融,20141229,20160413.0,上海,上海,1,0.0,0.0,2000.0,民营系,0,0.0,1.0,1,0,0.0,1.0
菜牛钱袋,20151105,20180206.0,浙江,宁波,1,1.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
仓仓贷,20160121,20160329.0,四川,绵阳,1,0.0,0.0,560.0,民营系,0,0.0,0.0,0,0,0.0,0.0
仓鼠金融,20150321,20161201.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
昌和财富,20170427,20171025.0,浙江,台州,1,0.0,0.0,600.0,民营系,0,0.0,0.0,0,0,0.0,0.0
常盈财富,20150805,20151207.0,江苏,苏州,1,0.0,0.0,80.0,民营系,0,0.0,0.0,0,0,0.0,0.0
长财宝,20170915,20180313.0,上海,上海,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
长盈金融,20150410,20180814.0,湖北,武汉,1,0.0,0.0,100.0,民营系,0,0.0,0.0,1,0,0.0,1.0
超人贷,20140220,20180917.0,浙江,宁波,1,0.0,0.0,100.0,民营系,1,0.0,0.0,1,1,0.0,0.0
车贷宝,20151201,20190128.0,广东,东莞,1,0.0,0.0,100.0,民营系,1,0.0,1.0,1,0,0.0,0.0
车房贷,20140401,20170906.0,辽宁,沈阳,1,0.0,0.0,700.0,民营系,0,0.0,0.0,0,1,0.0,0.0
车富88,20150115,20181031.0,广东,深圳,1,0.0,0.0,650.0,民营系,1,0.0,0.0,1,1,0.0,0.0
车聚宝,20150708,,上海,上海,0,,,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
车赚,20160323,,河南,新乡,0,,,200.0,民营系,1,0.0,0.0,1,1,0.0,0.0
臣中投资,20160601,20160930.0,广西,南宁,1,0.0,0.0,600.0,民营系,0,0.0,0.0,0,0,0.0,0.0
橙旗贷,20141028,20180110.0,上海,上海,1,0.0,0.0,543.5,民营系,0,0.0,0.0,0,1,0.0,0.0
成金所,20170113,20170516.0,四川,成都,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
成融贷,20141016,20160229.0,天津,天津,1,0.0,1.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
诚天财富,20151015,20171024.0,山东,潍坊,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
诚信友贷,20140604,20160516.0,重庆,重庆,1,0.0,0.0,30.0,民营系,0,0.0,0.0,0,0,0.0,0.0
楚易贷,20150918,20171226.0,湖北,武汉,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
创富部落,20150105,20190620.0,广东,深圳,1,1.0,0.0,437.0,民营系,1,0.0,0.0,1,0,0.0,0.0
创宏利,20170823,20180629.0,福建,厦门,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
创盛财富,20150120,20150515.0,浙江,宁波,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
聪贷,20141001,20160930.0,福建,厦门,1,0.0,0.0,10.0,民营系,0,0.0,0.0,1,1,0.0,0.0
大爱金融,20151113,20171205.0,福建,泉州,1,0.0,0.0,1200.0,民营系,0,0.0,1.0,1,0,0.0,0.0
大博鑫财富,20150415,20160424.0,湖北,武汉,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
大丰收金融,20141117,20180108.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,1.0,1,0,0.0,1.0
大集金服,20161116,,海南,海口,0,,,10000.0,上市公司,0,0.0,0.0,0,0,0.0,0.0
大佳创投,20141030,20150309.0,广东,深圳,1,0.0,1.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
大麦理财,20141012,,广东,深圳,0,,,300.0,国企背景,1,1.0,1.0,0,0,0.0,0.0
大拇哥财富,20150210,,北京,北京,0,,,500.0,国企背景,1,0.0,0.0,0,1,0.0,1.0
大盈家,20161030,,新疆,乌鲁木齐,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
代代发,20160205,,北京,北京,0,,,510.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷宝宝,20150101,20150310.0,北京,北京,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷贷富,20140924,20160130.0,河南,郑州,1,0.0,0.0,310.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷你盈,20150125,20180928.0,北京,北京,1,0.0,1.0,500.0,民营系,0,0.0,0.0,1,1,1.0,0.0
贷未来,20140709,20171229.0,浙江,杭州,1,0.0,0.0,111.1,民营系,0,0.0,0.0,0,0,0.0,0.0
贷运来,20130901,20160831.0,江苏,无锡,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
袋鼠贷,20141208,20190219.0,广东,深圳,1,1.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
当当金融,20150112,20180112.0,浙江,宁波,1,0.0,0.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
道口贷,20141219,,北京,北京,0,,,1183.5,国企背景,1,1.0,1.0,0,0,0.0,0.0
德纯财富,20160321,20160711.0,山东,青岛,1,0.0,0.0,150.0,民营系,0,0.0,0.0,0,0,0.0,0.0
德合在线,20170519,20171009.0,江苏,镇江,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
德鸿普惠,20150403,,北京,北京,0,,,500.0,民营系,1,0.0,0.0,0,1,0.0,0.0
德利贷,20141103,20150721.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
德晟金服,20150923,20190331.0,广东,深圳,1,1.0,0.0,500.0,风投系,1,1.0,1.0,0,0,0.0,0.0
滴滴理财,20160128,20170421.0,上海,上海,1,1.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
帝业投资,20150813,20160119.0,山西,忻州,1,0.0,1.0,2000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点车成金,20150206,20170615.0,上海,上海,1,1.0,0.0,956.62,民营系,1,,,0,0,,
点滴借贷,20160523,20160805.0,北京,北京,1,0.0,0.0,5000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点滴投资,20150105,20150701.0,浙江,杭州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点点聚宝,20140918,20160626.0,云南,昆明,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点理财,20160711,20170915.0,上海,上海,1,0.0,0.0,1000.0,上市公司,0,0.0,0.0,0,0,0.0,0.0
点心贷,20141121,20170523.0,北京,北京,1,0.0,0.0,55.6,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎财富,20171115,20180813.0,上海,上海,1,0.0,1.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎合资本,20150102,,江苏,苏州,0,,,1200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎有财,20150924,,浙江,杭州,0,,,655.8,上市公司,1,0.0,0.0,0,1,0.0,0.0
鼎源资产,20140926,20150715.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,1,0.0,0.0
鼎鑫贷,20130601,20160530.0,浙江,嘉兴,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
东创贷,20170801,20180417.0,浙江,宁波,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
东方创投,20130619,20131008.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
兜着赚,20150315,20151201.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
豆包金服,20160502,,北京,北京,0,,,684.352,民营系,1,,,0,0,,
都能贷,20121001,20140606.0,湖南,长沙,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
堆财网,20150408,20160818.0,浙江,杭州,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
多彩多乐,20150101,20150113.0,重庆,重庆,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
多多宝,20150519,20160913.0,广东,深圳,1,0.0,1.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
多多智富,20140313,20160222.0,广东,深圳,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
多乐融,20160504,,北京,北京,0,,,100.0,民营系,1,0.0,0.0,0,0,0.0,0.0
恩之汇,20170824,20180121.0,广西,南宁,1,0.0,1.0,800.0,民营系,0,0.0,0.0,1,0,0.0,0.0
尔达信投,20150416,20150804.0,山东,临沂,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
饭盒金服,20150316,20151130.0,福建,厦门,1,0.0,1.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房贷通,20140724,20160401.0,广东,深圳,1,0.0,1.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
房融所,20150715,20180718.0,上海,上海,1,0.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房司令,20150302,20150803.0,江苏,南京,1,0.0,0.0,20.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房众金融,20160126,20181112.0,广东,广州,1,1.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
放心金融,20150408,20170817.0,北京,北京,1,1.0,0.0,100.0,民营系,0,0.0,1.0,0,1,0.0,0.0
飞特金融,20150124,20180502.0,天津,天津,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
飞腾财富,20150912,20160714.0,山东,淄博,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
飞翼聚财,20150801,20160727.0,贵州,遵义,1,0.0,0.0,800.0,民营系,0,0.0,0.0,1,1,0.0,0.0
飞鱼贷,20140916,20160728.0,湖北,武汉,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
分分贷,20110101,20120601.0,上海,上海,1,1.0,0.0,600.0,民营系,0,0.0,0.0,1,1,0.0,0.0
分秒金融,20161212,,北京,北京,0,,,5000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
丰谦创投,20150725,20150803.0,云南,昆明,1,0.0,1.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
丰收贷理财,20150129,20170201.0,福建,福州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
丰益贷,20150622,20160531.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,1.0
丰睿贷,20140901,20161018.0,湖北,武汉,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
峰诺贷,20141209,20150425.0,山东,菏泽,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
凤城易贷,20141020,20141026.0,江苏,泰州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
复祺在线,20150316,20160831.0,广东,深圳,1,0.0,0.0,300.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富爸爸金融,20160718,20170126.0,北京,北京,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富本速贷,20150906,20160526.0,广西,南宁,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富创在线,20150424,,河北,石家庄,0,,,200.0,国企背景,1,0.0,0.0,0,1,0.0,1.0
富弘易贷,20150414,20150518.0,山东,东营,1,0.0,1.0,120.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富金利,20150831,20181015.0,广东,深圳,1,1.0,0.0,1170.0,民营系,1,0.0,0.0,0,1,0.0,0.0
富通财富,20150416,20160614.0,山东,青岛,1,0.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
富一贷,20140714,20170829.0,湖北,武汉,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
富壹贷,20140616,20150714.0,广东,深圳,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
改革牛,20161021,20190516.0,广东,深圳,1,1.0,0.0,310.0,民营系,1,0.0,0.0,1,0,0.0,0.0
港润信贷,20150330,20160429.0,江苏,苏州,1,0.0,0.0,280.0,民营系,0,0.0,0.0,1,0,0.0,0.0
